Episodio,Pasos,Recompensa_Total,Llego_a_Meta
1,50,-50.0,False
2,50,-50.0,False
3,50,-50.0,False
4,21,-10.0,True
5,35,-24.0,True
6,50,-50.0,False
7,50,-50.0,False
8,50,-50.0,False
9,50,-50.0,False
10,35,-24.0,True
11,50,-50.0,False
12,50,-50.0,False
13,48,-37.0,True
14,50,-50.0,False
15,44,-33.0,True
16,50,-50.0,False
17,18,-7.0,True
18,50,-50.0,False
19,48,-37.0,True
20,50,-50.0,False
21,50,-50.0,False
22,15,-4.0,True
23,50,-50.0,False
24,50,-50.0,False
25,50,-50.0,False
26,50,-50.0,False
27,50,-50.0,False
28,50,-50.0,False
29,50,-50.0,False
30,50,-50.0,False
31,50,-50.0,False
32,50,-50.0,False
33,50,-50.0,False
34,50,-50.0,False
35,20,-9.0,True
36,50,-50.0,False
37,12,-1.0,True
38,50,-50.0,False
39,28,-17.0,True
40,18,-7.0,True
41,27,-16.0,True
42,50,-50.0,False
43,16,-5.0,True
44,50,-50.0,False
45,35,-24.0,True
46,27,-16.0,True
47,50,-50.0,False
48,50,-50.0,False
49,50,-50.0,False
50,16,-5.0,True
51,50,-50.0,False
52,50,-50.0,False
53,49,-38.0,True
54,50,-50.0,False
55,19,-8.0,True
56,30,-19.0,True
57,50,-50.0,False
58,50,-50.0,False
59,50,-50.0,False
60,50,-50.0,False
61,50,-50.0,False
62,50,-50.0,False
63,32,-21.0,True
64,50,-50.0,False
65,50,-50.0,False
66,21,-10.0,True
67,50,-50.0,False
68,50,-50.0,False
69,39,-28.0,True
70,50,-50.0,False
71,50,-50.0,False
72,27,-16.0,True
73,50,-50.0,False
74,36,-25.0,True
75,20,-9.0,True
76,50,-50.0,False
77,50,-50.0,False
78,50,-50.0,False
79,50,-50.0,False
80,50,-50.0,False
81,50,-50.0,False
82,50,-50.0,False
83,50,-50.0,False
84,50,-50.0,False
85,50,-50.0,False
86,45,-34.0,True
87,16,-5.0,True
88,33,-22.0,True
89,50,-50.0,False
90,42,-31.0,True
91,21,-10.0,True
92,29,-18.0,True
93,50,-50.0,False
94,50,-50.0,False
95,50,-50.0,False
96,36,-25.0,True
97,50,-50.0,False
98,50,-50.0,False
99,50,-50.0,False
100,50,-50.0,False
